Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.001267,0.001460,0.001214,0.001358,0.001358,4402130
2017-11-10,0.001357,0.001437,0.001219,0.001237,0.001237,2219310
2017-11-11,0.001233,0.001296,0.001155,0.001201,0.001201,2913560
2017-11-12,0.001201,0.001207,0.000996,0.001036,0.001036,2558020
2017-11-13,0.001041,0.001200,0.001035,0.001152,0.001152,2409110
2017-11-14,0.001141,0.001173,0.001083,0.001128,0.001128,2745920
2017-11-15,0.001125,0.001239,0.001125,0.001230,0.001230,2598540
2017-11-16,0.001230,0.001281,0.001184,0.001249,0.001249,2644400
2017-11-17,0.001254,0.001254,0.001173,0.001202,0.001202,1168260
2017-11-18,0.001200,0.001304,0.001161,0.001261,0.001261,2415260
2017-11-19,0.001269,0.001360,0.001209,0.001293,0.001293,3369440
2017-11-20,0.001292,0.001320,0.001263,0.001281,0.001281,2335090
2017-11-21,0.001284,0.001352,0.001215,0.001302,0.001302,3175750
2017-11-22,0.001307,0.001566,0.001290,0.001558,0.001558,3162120
2017-11-23,0.001549,0.002022,0.001421,0.001758,0.001758,5696590
2017-11-24,0.001748,0.001761,0.001512,0.001582,0.001582,4843140
2017-11-25,0.001579,0.001747,0.001579,0.001641,0.001641,2888930
2017-11-26,0.001642,0.001712,0.001595,0.001679,0.001679,4270840
2017-11-27,0.001685,0.001758,0.001603,0.001750,0.001750,4459300
2017-11-28,0.001752,0.001796,0.001716,0.001768,0.001768,2315250
2017-11-29,0.001766,0.001868,0.001534,0.001573,0.001573,4577510
2017-11-30,0.001566,0.001697,0.001432,0.001596,0.001596,4180850
2017-12-01,0.001585,0.001732,0.001513,0.001726,0.001726,2640990
2017-12-02,0.001727,0.002167,0.001653,0.001910,0.001910,5220950
2017-12-03,0.001971,0.002189,0.001803,0.001995,0.001995,4798740
2017-12-04,0.001983,0.002128,0.001933,0.002120,0.002120,4924450
2017-12-05,0.002117,0.002374,0.002058,0.002374,0.002374,5175010
2017-12-06,0.002390,0.002514,0.002103,0.002373,0.002373,7066440
2017-12-07,0.002368,0.002748,0.002295,0.002748,0.002748,7878310
2017-12-08,0.002761,0.002783,0.002315,0.002736,0.002736,9567940
2017-12-09,0.002716,0.002761,0.002302,0.002549,0.002549,3764010
2017-12-10,0.002538,0.002660,0.002120,0.002453,0.002453,7019140
2017-12-11,0.002439,0.002758,0.002426,0.002573,0.002573,7378240
2017-12-12,0.002569,0.002821,0.002490,0.002740,0.002740,5334230
2017-12-13,0.002727,0.002799,0.002459,0.002573,0.002573,7039420
2017-12-14,0.002568,0.002863,0.002520,0.002800,0.002800,5251000
2017-12-15,0.002804,0.002934,0.002748,0.002870,0.002870,4051660
2017-12-16,0.002850,0.003776,0.002795,0.003638,0.003638,9692270
2017-12-17,0.003733,0.004907,0.003512,0.004539,0.004539,19651400
2017-12-18,0.004583,0.005284,0.004148,0.004792,0.004792,13913300
2017-12-19,0.004857,0.005505,0.004368,0.004586,0.004586,10835300
2017-12-20,0.004582,0.005182,0.003690,0.005124,0.005124,14950400
2017-12-21,0.005187,0.006353,0.005065,0.006110,0.006110,21724500
2017-12-22,0.006116,0.006241,0.003259,0.004793,0.004793,15447300
2017-12-23,0.004851,0.006444,0.004851,0.005904,0.005904,16188800
2017-12-24,0.005969,0.006616,0.004850,0.006591,0.006591,18019600
