Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.003957,0.005323,0.003804,0.005046,0.005046,6458570
2017-11-10,0.004951,0.005109,0.003972,0.004225,0.004225,3780520
2017-11-11,0.004177,0.004486,0.003975,0.004386,0.004386,2266800
2017-11-12,0.004389,0.004476,0.003654,0.003753,0.003753,2611240
2017-11-13,0.003792,0.004313,0.003710,0.003976,0.003976,1851930
2017-11-14,0.004014,0.004188,0.003832,0.004163,0.004163,1872000
2017-11-15,0.004198,0.004428,0.004143,0.004143,0.004143,1603030
2017-11-16,0.004202,0.004250,0.003949,0.004050,0.004050,1764510
2017-11-17,0.004003,0.004175,0.003936,0.004014,0.004014,1266640
2017-11-18,0.003995,0.004237,0.003829,0.004058,0.004058,1189160
2017-11-19,0.004086,0.004491,0.004076,0.004267,0.004267,2776520
2017-11-20,0.004293,0.004408,0.004166,0.004286,0.004286,1512960
2017-11-21,0.004321,0.004534,0.004097,0.004412,0.004412,1904990
2017-11-22,0.004460,0.005397,0.004460,0.005391,0.005391,5486060
2017-11-23,0.005433,0.005577,0.004917,0.005275,0.005275,3231670
2017-11-24,0.005265,0.005307,0.004737,0.005052,0.005052,3104860
2017-11-25,0.005083,0.005406,0.005035,0.005387,0.005387,2179380
2017-11-26,0.005421,0.005671,0.005176,0.005588,0.005588,2005900
2017-11-27,0.005589,0.006427,0.005526,0.006325,0.006325,3961840
2017-11-28,0.006375,0.006630,0.006042,0.006481,0.006481,4676120
2017-11-29,0.006512,0.006964,0.005114,0.005427,0.005427,5265980
2017-11-30,0.005511,0.006108,0.005002,0.005456,0.005456,2172220
2017-12-01,0.005425,0.006057,0.005253,0.005921,0.005921,2151360
2017-12-02,0.005876,0.006957,0.005612,0.006801,0.006801,6697200
2017-12-03,0.006822,0.009599,0.006550,0.008557,0.008557,29908000
2017-12-04,0.008545,0.012394,0.008385,0.010973,0.010973,64095500
2017-12-05,0.010766,0.010852,0.008846,0.009462,0.009462,24005000
2017-12-06,0.009401,0.009910,0.008291,0.008539,0.008539,20825500
2017-12-07,0.008395,0.009216,0.008028,0.008135,0.008135,16668300
2017-12-08,0.008224,0.008706,0.007471,0.008388,0.008388,10571100
2017-12-09,0.008538,0.009326,0.007862,0.008278,0.008278,6523050
2017-12-10,0.008221,0.008323,0.007026,0.007685,0.007685,4830090
2017-12-11,0.007707,0.008877,0.007674,0.008639,0.008639,4951460
2017-12-12,0.008662,0.011254,0.008402,0.011188,0.011188,10191200
2017-12-13,0.010926,0.011929,0.009937,0.010223,0.010223,14491500
2017-12-14,0.010273,0.012068,0.009511,0.011448,0.011448,16156500
2017-12-15,0.011385,0.011677,0.010113,0.010613,0.010613,11493300
2017-12-16,0.010707,0.013570,0.010614,0.013103,0.013103,16247000
2017-12-17,0.013016,0.019238,0.012938,0.016413,0.016413,64991300
2017-12-18,0.016340,0.017988,0.013833,0.016599,0.016599,28351400
2017-12-19,0.016620,0.017610,0.014884,0.016190,0.016190,27907300
2017-12-20,0.016105,0.025972,0.013495,0.023979,0.023979,97997000
2017-12-21,0.023688,0.030454,0.022002,0.025061,0.025061,77805696
2017-12-22,0.024908,0.025769,0.014050,0.019190,0.019190,42826200
2017-12-23,0.019476,0.033568,0.019404,0.028472,0.028472,97877696
2017-12-24,0.029190,0.033807,0.025087,0.033807,0.033807,77247000
2017-12-25,0.034765,0.038733,0.026515,0.028021,0.028021,93218704
2017-12-26,0.027575,0.032330,0.024311,0.029560,0.029560,89684304
2017-12-27,0.029426,0.031848,0.026799,0.028969,0.028969,94351504
2017-12-28,0.028981,0.029537,0.024837,0.028699,0.028699,40773000
2017-12-29,0.028694,0.034136,0.027574,0.032217,0.032217,54244900
2017-12-30,0.032375,0.032813,0.025768,0.028885,0.028885,37034600
2017-12-31,0.028450,0.031345,0.028247,0.030350,0.030350,26400000
2018-01-01,0.030113,0.031160,0.028484,0.030770,0.030770,17306300
2018-01-02,0.030902,0.031579,0.027345,0.030722,0.030722,40687600
2018-01-03,0.030762,0.033030,0.028159,0.032952,0.032952,34555700
2018-01-04,0.033006,0.043633,0.031417,0.039108,0.039108,116332000
2018-01-05,0.039789,0.075377,0.039789,0.070152,0.070152,227731008
2018-01-06,0.071896,0.111708,0.066976,0.094008,0.094008,612913024
2018-01-07,0.098340,0.100931,0.085359,0.091676,0.091676,195631008
2018-01-08,0.089489,0.091329,0.063583,0.078621,0.078621,161362000
2018-01-09,0.079117,0.085037,0.071741,0.076611,0.076611,95492096
2018-01-10,0.077126,0.077126,0.061701,0.068816,0.068816,94050496
2018-01-11,0.069694,0.082383,0.051475,0.064795,0.064795,147272000
2018-01-12,0.065093,0.069918,0.061391,0.065416,0.065416,143332992
2018-01-13,0.065120,0.072006,0.062950,0.064467,0.064467,112143000
2018-01-14,0.064149,0.064943,0.056262,0.059529,0.059529,69362496
2018-01-15,0.058971,0.063807,0.054617,0.056486,0.056486,117599000
2018-01-16,0.056521,0.056521,0.028773,0.036378,0.036378,138227008
2018-01-17,0.037784,0.051089,0.033991,0.048297,0.048297,237659008
2018-01-18,0.048444,0.057226,0.046406,0.051689,0.051689,166516992
2018-01-19,0.051134,0.053968,0.045741,0.048824,0.048824,82244400
2018-01-20,0.049344,0.051745,0.046484,0.050612,0.050612,111056000
2018-01-21,0.050819,0.055238,0.041765,0.043177,0.043177,122308000
2018-01-22,0.043320,0.044541,0.035411,0.039165,0.039165,61352700
2018-01-23,0.039167,0.042012,0.034846,0.038832,0.038832,42999100
2018-01-24,0.038911,0.041223,0.037273,0.039672,0.039672,33308600
2018-01-25,0.040140,0.041812,0.037587,0.041247,0.041247,46005600
2018-01-26,0.040432,0.042128,0.035834,0.039947,0.039947,46952700
2018-01-27,0.039508,0.041905,0.037985,0.041129,0.041129,28439100
2018-01-28,0.041199,0.047510,0.041199,0.045108,0.045108,99650000
2018-01-29,0.045051,0.045105,0.039885,0.041061,0.041061,41660300
2018-01-30,0.040986,0.041911,0.033094,0.033257,0.033257,36564500
2018-01-31,0.033863,0.035381,0.031650,0.033911,0.033911,26700900
2018-02-01,0.034004,0.034896,0.026153,0.028110,0.028110,34324300
2018-02-02,0.028127,0.028127,0.018760,0.027382,0.027382,45103800
2018-02-03,0.027648,0.030985,0.023216,0.029121,0.029121,27955100
2018-02-04,0.028989,0.029870,0.022410,0.023707,0.023707,19509300
2018-02-05,0.023570,0.024284,0.016910,0.018043,0.018043,17642200
2018-02-06,0.018216,0.022974,0.014742,0.022786,0.022786,31345200
2018-02-07,0.022213,0.024073,0.019504,0.020158,0.020158,19505700
2018-02-08,0.020040,0.022792,0.020040,0.022075,0.022075,14746600
2018-02-09,0.022089,0.025142,0.020584,0.024826,0.024826,16923100
2018-02-10,0.024952,0.027817,0.022629,0.024183,0.024183,33739700
2018-02-11,0.024059,0.024098,0.021088,0.022077,0.022077,11496800
2018-02-12,0.022322,0.024625,0.022322,0.023785,0.023785,11534600
2018-02-13,0.023908,0.024395,0.022477,0.023198,0.023198,9319080
2018-02-14,0.023059,0.026019,0.022182,0.025981,0.025981,13644100
2018-02-15,0.026053,0.027668,0.025266,0.026837,0.026837,13515800
2018-02-16,0.026725,0.027119,0.025214,0.026682,0.026682,9178350
2018-02-17,0.026628,0.031298,0.026295,0.030927,0.030927,59039600
2018-02-18,0.030530,0.031850,0.027113,0.028062,0.028062,36405400
2018-02-19,0.027920,0.029505,0.027644,0.028743,0.028743,15312700
2018-02-20,0.028784,0.029318,0.024567,0.024567,0.024567,28558300
2018-02-21,0.024587,0.028805,0.023424,0.023967,0.023967,49351800
2018-02-22,0.024187,0.026225,0.021465,0.021909,0.021909,15988100
2018-02-23,0.021751,0.023282,0.021007,0.022598,0.022598,12192500
2018-02-24,0.022574,0.023369,0.020370,0.021028,0.021028,9997190
2018-02-25,0.021126,0.021633,0.020124,0.021089,0.021089,8595780
2018-02-26,0.020995,0.022525,0.020838,0.022123,0.022123,9791580
2018-02-27,0.022189,0.022434,0.021150,0.022040,0.022040,8828730
2018-02-28,0.021923,0.022204,0.019267,0.019284,0.019284,8767140
2018-03-01,0.019203,0.023155,0.019084,0.021690,0.021690,27037500
2018-03-02,0.021588,0.022263,0.020528,0.020912,0.020912,13311300
2018-03-03,0.020736,0.021333,0.020031,0.020198,0.020198,6888900
2018-03-04,0.020173,0.020245,0.019025,0.020017,0.020017,5738800
2018-03-05,0.019891,0.020538,0.019625,0.020404,0.020404,6560710
2018-03-06,0.020268,0.020268,0.017662,0.017895,0.017895,5984640
2018-03-07,0.017835,0.018119,0.014241,0.015438,0.015438,12180500
2018-03-08,0.015321,0.016123,0.014024,0.014189,0.014189,6111220
2018-03-09,0.014141,0.014371,0.011849,0.013750,0.013750,6668280
2018-03-10,0.013585,0.014141,0.012870,0.013003,0.013003,2799510
2018-03-11,0.012875,0.014364,0.012385,0.013945,0.013945,2377630
2018-03-12,0.013951,0.016075,0.013685,0.014338,0.014338,9126530
2018-03-13,0.014360,0.014789,0.013590,0.013778,0.013778,4523810
2018-03-14,0.013659,0.014346,0.011810,0.012166,0.012166,3853260
2018-03-15,0.012091,0.012218,0.010804,0.011648,0.011648,3922380
2018-03-16,0.011781,0.012145,0.011263,0.011521,0.011521,2022010
2018-03-17,0.011594,0.011594,0.009628,0.009733,0.009733,2347350
2018-03-18,0.009713,0.011064,0.008956,0.010829,0.010829,5498350
2018-03-19,0.010926,0.012001,0.010683,0.011767,0.011767,4838740
2018-03-20,0.011901,0.013857,0.011045,0.013578,0.013578,6491530
2018-03-21,0.013651,0.014162,0.012842,0.013262,0.013262,6628440
