Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.940783,1.096140,0.919496,0.988873,0.988873,2512220
2017-11-10,0.974021,1.020090,0.860292,0.880470,0.880470,1659390
2017-11-11,0.883401,0.942428,0.863185,0.921045,0.921045,1356190
2017-11-12,0.931650,0.931650,0.792410,0.828760,0.828760,1826970
2017-11-13,0.837323,0.939477,0.828150,0.922813,0.922813,1651660
2017-11-14,0.922614,0.975690,0.906125,0.940148,0.940148,1109360
2017-11-15,0.940384,0.979902,0.924597,0.951673,0.951673,1115710
2017-11-16,0.956527,0.959742,0.903621,0.925460,0.925460,1219280
2017-11-17,0.925367,0.943445,0.872433,0.894508,0.894508,994977
2017-11-18,0.898064,0.946060,0.878782,0.917951,0.917951,791665
2017-11-19,0.916248,0.934246,0.891957,0.911719,0.911719,923674
2017-11-20,0.909170,0.933533,0.894166,0.908268,0.908268,957215
2017-11-21,0.906709,0.931927,0.861888,0.891775,0.891775,1054310
2017-11-22,0.887593,1.198840,0.887593,1.007460,1.007460,17039100
2017-11-23,0.997885,1.030230,0.935986,0.959156,0.959156,2615650
2017-11-24,0.955235,0.958427,0.904336,0.945050,0.945050,1479690
2017-11-25,0.944530,1.088600,0.943787,1.048230,1.048230,4683450
2017-11-26,1.039760,1.119320,1.003720,1.097900,1.097900,2047930
2017-11-27,1.102060,1.281840,1.077310,1.179310,1.179310,4560590
2017-11-28,1.176740,1.245160,1.124320,1.153430,1.153430,4156370
2017-11-29,1.155950,1.218750,0.906742,0.935901,0.935901,3862430
2017-11-30,0.958366,1.068100,0.903074,1.004690,1.004690,1492280
2017-12-01,1.000220,1.102540,0.971877,1.083970,1.083970,1529000
2017-12-02,1.090680,1.218300,1.050470,1.197120,1.197120,2454140
2017-12-03,1.195750,1.308650,1.148810,1.221630,1.221630,4982820
2017-12-04,1.223270,1.462830,1.191420,1.432410,1.432410,6588640
2017-12-05,1.428060,1.617510,1.416290,1.459640,1.459640,7781870
2017-12-06,1.452920,1.481390,1.261120,1.282090,1.282090,6209470
2017-12-07,1.292490,2.153180,1.274300,2.051510,2.051510,26993700
2017-12-08,2.135600,2.157330,1.608100,1.943040,1.943040,11425200
2017-12-09,1.902370,1.941100,1.539330,1.669920,1.669920,3380210
2017-12-10,1.673030,1.923370,1.313880,1.667960,1.667960,6084930
2017-12-11,1.677760,1.787380,1.676150,1.721430,1.721430,3618120
2017-12-12,1.717970,1.867140,1.657170,1.849560,1.849560,3830320
2017-12-13,1.860490,1.881650,1.685590,1.783120,1.783120,3287560
2017-12-14,1.756710,2.098590,1.756710,2.043150,2.043150,6859390
2017-12-15,2.038920,2.084130,1.796580,1.964340,1.964340,4929700
2017-12-16,1.965520,2.262460,1.965520,2.119240,2.119240,5782550
2017-12-17,2.105950,2.419080,2.098590,2.313280,2.313280,7228050
2017-12-18,2.326900,2.935470,2.206190,2.898890,2.898890,10902600
2017-12-19,2.867970,3.369310,2.632940,2.918420,2.918420,16961200
2017-12-20,2.876920,3.704730,2.434840,3.415090,3.415090,20406500
2017-12-21,3.440580,4.169610,3.313070,3.645520,3.645520,22309900
2017-12-22,3.638940,3.786050,2.067520,2.944750,2.944750,14457100
2017-12-23,2.993980,3.590570,2.801720,3.153850,3.153850,10846800
2017-12-24,3.297080,3.771980,2.780630,3.403720,3.403720,12293700
2017-12-25,3.395360,3.434050,3.067380,3.362750,3.362750,7338120
2017-12-26,3.478340,3.706240,3.164080,3.432080,3.432080,10614600
2017-12-27,3.423800,3.423800,3.040900,3.263170,3.263170,5684460
2017-12-28,3.234190,3.261110,2.640910,2.885680,2.885680,6388540
2017-12-29,2.920600,3.161600,2.743310,3.146360,3.146360,6234230
2017-12-30,3.179570,3.235080,2.539600,2.726430,2.726430,6092660
2017-12-31,2.692570,3.037170,2.612330,3.009450,3.009450,4329760
2018-01-01,3.017410,4.507660,2.860960,4.005500,4.005500,32488100
2018-01-02,3.983120,7.135430,3.972310,6.693560,6.693560,118530000
2018-01-03,6.509450,8.574420,6.092420,8.030780,8.030780,81599696
2018-01-04,8.120120,8.120120,6.559720,6.559720,6.559720,42666400
2018-01-05,6.549900,7.080920,5.523510,5.807350,5.807350,32859900
2018-01-06,5.702050,6.970470,5.249050,6.627940,6.627940,29704000
2018-01-07,6.995150,6.995150,6.180700,6.409250,6.409250,19933800
2018-01-08,6.371530,6.407570,5.217570,6.018920,6.018920,15712500
2018-01-09,5.995180,6.321560,5.726650,5.935020,5.935020,12146200
2018-01-10,5.946020,5.953960,4.840920,5.335230,5.335230,14512500
2018-01-11,5.317870,5.317870,3.829470,4.372740,4.372740,16060700
2018-01-12,4.582000,5.826220,4.141010,5.428100,5.428100,15557700
2018-01-13,5.415080,6.592400,5.415080,6.285390,6.285390,23149700
2018-01-14,6.279170,6.279170,5.468330,5.909230,5.909230,10565500
2018-01-15,6.270720,6.270720,5.479690,5.494560,5.494560,33549000
2018-01-16,5.442610,5.442610,3.043820,3.937220,3.937220,32266600
2018-01-17,3.858140,4.222920,2.768770,4.047600,4.047600,26863600
2018-01-18,4.079900,4.636350,3.748960,4.266660,4.266660,20692600
2018-01-19,4.264040,5.221170,4.205310,4.774710,4.774710,76640200
2018-01-20,4.776400,5.773390,4.776400,5.544030,5.544030,149296992
2018-01-21,5.759560,5.850890,4.618260,4.902220,4.902220,84010000
2018-01-22,4.971270,4.971270,3.894520,4.398090,4.398090,29067500
2018-01-23,4.336100,4.554100,3.884780,4.301520,4.301520,17515200
2018-01-24,4.349300,6.049060,4.128690,6.049060,6.049060,205776000
2018-01-25,6.076210,6.886810,5.694980,6.508260,6.508260,318344000
2018-01-26,6.616380,6.653610,5.383160,6.219100,6.219100,228966000
2018-01-27,6.252040,6.341800,5.817510,6.068730,6.068730,81736000
2018-01-28,6.072010,6.494930,5.953690,6.494930,6.494930,78270000
2018-01-29,6.367350,6.367350,5.819530,5.929990,5.929990,43932600
2018-01-30,5.906070,5.906070,4.660710,4.745930,4.745930,40389600
2018-01-31,4.649550,5.432900,4.047630,5.150880,5.150880,89015000
2018-02-01,5.118580,5.899120,4.563700,4.962380,4.962380,181524000
2018-02-02,5.019290,5.019290,3.082990,4.344510,4.344510,121981000
2018-02-03,4.531400,4.709000,3.609440,4.520310,4.520310,76445000
2018-02-04,4.383890,4.648180,3.741530,3.881730,3.881730,44028700
2018-02-05,3.891120,4.121930,3.209390,3.304300,3.304300,37719200
2018-02-06,3.330970,4.019450,2.620530,3.875690,3.875690,93548896
2018-02-07,3.888110,4.087600,3.496360,3.648380,3.648380,60622200
2018-02-08,3.646220,4.046730,3.626660,3.953160,3.953160,44784000
2018-02-09,3.940900,4.363710,3.886810,4.341800,4.341800,68772096
2018-02-10,4.297870,5.080640,4.084260,4.493340,4.493340,123352000
2018-02-11,4.508610,4.508610,3.814820,3.990360,3.990360,29617900
2018-02-12,4.004620,4.271920,4.004620,4.271920,4.271920,20931400
2018-02-13,4.445020,4.445020,4.030830,4.247040,4.247040,29812600
2018-02-14,4.206910,4.460030,4.145780,4.460030,4.460030,25653800
2018-02-15,4.546930,4.611410,4.333280,4.602630,4.602630,32348200
2018-02-16,4.571470,4.592340,4.375690,4.578910,4.578910,16317000
2018-02-17,4.535960,4.691640,4.429270,4.684610,4.684610,22745700
2018-02-18,4.663830,4.663830,4.136610,4.292030,4.292030,17560500
2018-02-19,4.232540,4.573380,4.181350,4.546480,4.546480,23922700
2018-02-20,4.528540,4.528690,4.177510,4.210410,4.210410,20141900
2018-02-21,4.139340,4.139340,3.778100,3.891450,3.891450,11213400
2018-02-22,3.787910,3.879480,3.372490,3.514150,3.514150,7228190
2018-02-23,3.500310,3.801120,3.288080,3.685030,3.685030,14502800
2018-02-24,3.727090,3.737670,3.380740,3.487270,3.487270,6532180
2018-02-25,3.484240,3.565790,3.325940,3.507480,3.507480,5088700
2018-02-26,3.473610,3.624980,3.335470,3.624980,3.624980,5721390
2018-02-27,3.612480,3.612480,3.444380,3.508000,3.508000,6209110
2018-02-28,3.493470,3.517100,3.272450,3.284760,3.284760,4713170
2018-03-01,3.275750,3.471480,3.149820,3.434910,3.434910,6248000
2018-03-02,3.440530,3.440530,3.227830,3.345240,3.345240,6777470
2018-03-03,3.335410,3.659120,3.304130,3.659120,3.659120,9083810
2018-03-04,3.666170,3.666170,3.417770,3.549800,3.549800,7073280
2018-03-05,3.537250,3.645360,3.426260,3.505060,3.505060,7246750
2018-03-06,3.460110,3.460110,3.216590,3.239680,3.239680,4678310
2018-03-07,3.225590,3.289840,2.593970,2.771570,2.771570,6464230
2018-03-08,2.790720,2.945410,2.629000,2.649310,2.649310,4427050
2018-03-09,2.645190,2.660520,2.184580,2.571880,2.571880,5228660
2018-03-10,2.579600,2.682730,2.365130,2.395860,2.395860,3231450
2018-03-11,2.388550,2.635340,2.246350,2.553590,2.553590,4152590
2018-03-12,2.555650,2.641780,2.373390,2.437270,2.437270,3170950
2018-03-13,2.456640,2.575210,2.288410,2.497020,2.497020,8677410
2018-03-14,2.513490,2.714380,2.171830,2.227680,2.227680,14376300
2018-03-15,2.281900,2.281900,1.923300,2.107430,2.107430,4759340
2018-03-16,2.120410,2.150020,1.980920,2.052780,2.052780,2065890
2018-03-17,2.057360,2.057360,1.782960,1.819360,1.819360,1518520
2018-03-18,1.813540,1.864730,1.500330,1.829890,1.829890,3499140
2018-03-19,1.828840,2.055010,1.824360,2.055010,2.055010,3775080
2018-03-20,2.074510,2.286110,1.998390,2.195770,2.195770,7643910
2018-03-21,2.189480,2.342000,2.174040,2.216840,2.216840,3132310
2018-03-22,2.213890,2.266520,1.990850,2.125980,2.125980,2366880
2018-03-23,2.117860,2.129390,1.890480,1.967800,1.967800,3137480
2018-03-24,2.037490,2.145760,1.949430,1.993030,1.993030,5871000
2018-03-25,1.981800,2.078120,1.950450,2.018240,2.018240,2439650
2018-03-26,2.014850,2.027830,1.773160,1.859590,1.859590,2466310
2018-03-27,1.852980,1.884020,1.692870,1.723110,1.723110,1592260
2018-03-28,1.729380,1.943070,1.704330,1.889050,1.889050,2793970
2018-03-29,1.900020,1.906990,1.611420,1.641950,1.641950,2132140
2018-03-30,1.641690,1.664300,1.480260,1.550430,1.550430,2315390
2018-03-31,1.550170,1.614100,1.502250,1.523550,1.523550,1239310
2018-04-01,1.524290,1.542090,1.366180,1.436600,1.436600,1046950
2018-04-02,1.442200,1.690060,1.425140,1.690060,1.690060,5488810
2018-04-03,1.700920,2.450250,1.616920,2.055470,2.055470,59563800
2018-04-04,2.017190,2.166190,1.806860,1.921190,1.921190,14419100
2018-04-05,1.911270,1.911270,1.674240,1.749740,1.749740,3980430
2018-04-06,1.880650,1.903560,1.667900,1.759420,1.759420,9876680
2018-04-07,1.747460,1.996610,1.689440,1.878690,1.878690,7151710
2018-04-08,1.862080,1.929960,1.848500,1.909780,1.909780,3208590
2018-04-09,1.914970,2.197630,1.785870,1.831640,1.831640,8131340
2018-04-10,1.834900,1.850990,1.763310,1.847390,1.847390,2149730
2018-04-11,1.847540,2.005550,1.823370,1.958950,1.958950,4439840
2018-04-12,2.010770,2.754270,1.934990,2.718070,2.718070,74749400
2018-04-13,2.726960,3.353010,2.584100,2.699850,2.699850,83578800
2018-04-14,2.672980,2.769690,2.552890,2.621220,2.621220,8865570
2018-04-15,2.615080,2.748520,2.615080,2.748520,2.748520,9133700
2018-04-16,2.770890,2.795030,2.549090,2.680710,2.680710,7259820
2018-04-17,2.661830,2.800160,2.618080,2.784600,2.784600,15131800
2018-04-18,2.869560,3.022650,2.760170,3.015500,3.015500,21311900
2018-04-19,3.005150,3.145900,2.886160,3.114670,3.114670,24014800
2018-04-20,3.197290,3.292380,2.917020,3.292380,3.292380,29875800
2018-04-21,3.279900,3.279900,2.877580,3.092500,3.092500,13378400
2018-04-22,3.093390,3.131640,2.981250,3.049610,3.049610,7146520
2018-04-23,3.029810,3.309150,3.024620,3.252690,3.252690,14983100
2018-04-24,3.258340,3.557510,3.258340,3.515140,3.515140,18794900
2018-04-25,3.496570,4.419790,3.017570,4.208340,4.208340,160916992
2018-04-26,4.148580,4.331810,3.480930,4.124760,4.124760,119431000
2018-04-27,4.083580,4.647930,3.786240,4.323890,4.323890,89669696
2018-04-28,4.231860,4.488840,4.200160,4.400190,4.400190,64765500
2018-04-29,4.422350,4.422350,3.950810,4.241290,4.241290,39573000
2018-04-30,4.220870,4.220870,3.891030,3.916530,3.916530,16366000
2018-05-01,3.905000,3.937010,3.640440,3.934940,3.934940,13612600
2018-05-02,3.963010,4.070080,3.822350,4.055880,4.055880,13520000
2018-05-03,4.056520,4.109080,3.867830,4.051610,4.051610,17611600
2018-05-04,4.053260,4.053260,3.808640,3.927410,3.927410,11238800
2018-05-05,3.958420,4.017980,3.734320,3.814740,3.814740,19429800
2018-05-06,3.804940,3.804940,3.575930,3.732840,3.732840,7667760
2018-05-07,3.725360,3.735000,3.419500,3.557100,3.557100,8037400
2018-05-08,3.562990,3.645030,3.383180,3.592820,3.592820,17468700
2018-05-09,3.566140,3.566140,3.311270,3.488290,3.488290,8755160
2018-05-10,3.491670,3.491670,3.228720,3.232110,3.232110,8157010
2018-05-11,3.227200,3.227200,2.591990,2.858770,2.858770,19032200
2018-05-12,2.862520,2.924460,2.565150,2.831270,2.831270,7953720
2018-05-13,2.816550,3.182460,2.760500,3.145030,3.145030,12549500
2018-05-14,3.142010,3.298590,2.902650,3.195910,3.195910,15095500
