Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.042921,0.044740,0.041436,0.042891,0.042891,161914
2017-11-10,0.043194,0.045036,0.037413,0.039688,0.039688,92249
2017-11-11,0.039807,0.041604,0.036760,0.038134,0.038134,104303
2017-11-12,0.038106,0.038106,0.031866,0.033628,0.033628,54752
2017-11-13,0.033602,0.038670,0.033263,0.036706,0.036706,42979
2017-11-14,0.036785,0.038181,0.036225,0.037788,0.037788,37784
2017-11-15,0.037814,0.039531,0.037586,0.038737,0.038737,44668
2017-11-16,0.038940,0.041447,0.037825,0.040403,0.040403,62717
2017-11-17,0.040152,0.040667,0.037608,0.039764,0.039764,52944
2017-11-18,0.039611,0.042082,0.038335,0.041421,0.041421,46195
2017-11-19,0.041345,0.041607,0.039422,0.040183,0.040183,35020
2017-11-20,0.040164,0.041518,0.039472,0.039672,0.039672,79007
2017-11-21,0.039837,0.041212,0.036845,0.038859,0.038859,40047
2017-11-22,0.038887,0.044436,0.038672,0.043375,0.043375,161645
2017-11-23,0.043059,0.045622,0.042132,0.043257,0.043257,176076
2017-11-24,0.043668,0.044592,0.042193,0.043756,0.043756,99937
2017-11-25,0.043668,0.046455,0.043503,0.045589,0.045589,131494
2017-11-26,0.045573,0.052598,0.045075,0.051495,0.051495,230265
2017-11-27,0.051375,0.053849,0.050138,0.052916,0.052916,162414
2017-11-28,0.053051,0.064011,0.052266,0.056259,0.056259,454507
2017-11-29,0.056142,0.061628,0.043750,0.045654,0.045654,345895
2017-11-30,0.045215,0.052794,0.044729,0.052532,0.052532,118010
2017-12-01,0.052152,0.055771,0.048845,0.054477,0.054477,108695
2017-12-02,0.054432,0.056421,0.051628,0.053308,0.053308,103937
2017-12-03,0.053358,0.062852,0.052917,0.056821,0.056821,209141
2017-12-04,0.057007,0.063222,0.056530,0.062974,0.062974,222167
2017-12-05,0.063315,0.068594,0.059693,0.063725,0.063725,481400
2017-12-06,0.063652,0.078898,0.060781,0.078898,0.078898,1008030
2017-12-07,0.078407,0.108007,0.070758,0.082893,0.082893,2598280
2017-12-08,0.081653,0.082882,0.067076,0.076254,0.076254,518677
2017-12-09,0.076027,0.077243,0.064832,0.073259,0.073259,166031
2017-12-10,0.073182,0.073182,0.060085,0.067769,0.067769,231286
2017-12-11,0.067347,0.073370,0.065934,0.066851,0.066851,588312
2017-12-12,0.066959,0.073032,0.065603,0.069601,0.069601,343390
2017-12-13,0.069568,0.074320,0.066890,0.069499,0.069499,431863
2017-12-14,0.069276,0.073933,0.068432,0.072090,0.072090,405320
2017-12-15,0.072691,0.081750,0.070902,0.079258,0.079258,753765
2017-12-16,0.079301,0.082032,0.077182,0.081096,0.081096,310730
2017-12-17,0.079971,0.089151,0.079019,0.084877,0.084877,397007
2017-12-18,0.085133,0.097151,0.081016,0.093037,0.093037,846562
2017-12-19,0.093888,0.098802,0.084229,0.089364,0.089364,798216
2017-12-20,0.089031,0.108077,0.078241,0.100700,0.100700,1349190
2017-12-21,0.102410,0.118981,0.095205,0.102319,0.102319,1330460
2017-12-22,0.102676,0.104099,0.058353,0.085101,0.085101,798013
2017-12-23,0.085291,0.104097,0.084946,0.093655,0.093655,786048
2017-12-24,0.094756,0.110157,0.086513,0.110157,0.110157,1701720
