Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.064538,0.075161,0.061113,0.071503,0.071503,6215410
2017-11-10,0.072113,0.073465,0.061475,0.064071,0.064071,5123080
2017-11-11,0.064097,0.069669,0.059893,0.068137,0.068137,4921230
2017-11-12,0.068062,0.068062,0.058656,0.060480,0.060480,4907610
2017-11-13,0.060764,0.065963,0.059929,0.063419,0.063419,3358820
2017-11-14,0.063269,0.068251,0.062382,0.066791,0.066791,3558640
2017-11-15,0.066884,0.069599,0.066272,0.068737,0.068737,3527330
2017-11-16,0.068951,0.072113,0.065614,0.069928,0.069928,3839530
2017-11-17,0.069938,0.070775,0.067872,0.069890,0.069890,3260860
2017-11-18,0.068646,0.075759,0.067861,0.075759,0.075759,4093940
2017-11-19,0.075365,0.079880,0.075230,0.077260,0.077260,3701600
2017-11-20,0.077229,0.097157,0.075080,0.090254,0.090254,11942100
2017-11-21,0.090314,0.134536,0.090314,0.125854,0.125854,40962300
2017-11-22,0.124743,0.148261,0.119321,0.126158,0.126158,33382500
2017-11-23,0.126474,0.127885,0.108991,0.112254,0.112254,14452000
2017-11-24,0.111481,0.126484,0.104170,0.126009,0.126009,13709300
2017-11-25,0.126565,0.140503,0.126565,0.135114,0.135114,16848900
2017-11-26,0.134390,0.165456,0.122909,0.165456,0.165456,21664000
2017-11-27,0.165864,0.223369,0.165688,0.198885,0.198885,62299900
2017-11-28,0.197875,0.212616,0.186457,0.196383,0.196383,26461500
2017-11-29,0.197063,0.222131,0.158174,0.160994,0.160994,28684200
2017-11-30,0.163436,0.188106,0.151074,0.179131,0.179131,13576100
2017-12-01,0.179009,0.229708,0.167489,0.228993,0.228993,23423500
2017-12-02,0.227519,0.399538,0.224983,0.366774,0.366774,104003000
2017-12-03,0.348566,0.490224,0.332905,0.428741,0.428741,213195008
2017-12-04,0.427488,0.503917,0.422132,0.449105,0.449105,130717000
2017-12-05,0.449818,0.449818,0.406414,0.406414,0.406414,71367200
2017-12-06,0.411315,0.531594,0.370998,0.472801,0.472801,159604992
2017-12-07,0.471483,0.802436,0.436815,0.721156,0.721156,237639008
2017-12-08,0.698858,0.736619,0.566458,0.658027,0.658027,201496000
2017-12-09,0.664305,0.693342,0.507583,0.607780,0.607780,89882400
2017-12-10,0.617848,0.617848,0.436205,0.558318,0.558318,94363296
2017-12-11,0.556815,0.700691,0.556815,0.646495,0.646495,104955000
2017-12-12,0.643664,0.700721,0.623867,0.687444,0.687444,80546000
