height,entropybit,IsContract,tx,netstakeweight,modifier,flags,IsSuperBlock,querytime,fees_collected,mint,MoneySupply,claim->mining_id,difficulty,size,location,time,username,,locktime,netstakeweight,txid,contracts,vout->0->value,vout->0->scriptPubKey->addresses,vout->0->scriptPubKey->type,time
1,1,False,['c93aa81dbdede0477f1aa8876029d1094642841361eaad0a1de02d8a8fe0376f'],180700778.1848732,0000000000000000,proof-of-work ,False,2,0,30,30,ca895b47aacffbdbf906201821af2f9f,0.0002441371325370145,391,"Bruges, Belgium",1413152875,unknown user,,0,180700778.1848732,c93aa81dbdede0477f1aa8876029d1094642841361eaad0a1de02d8a8fe0376f,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152870

2,1,False,['5615abe0db30b42a6779c56a854104f6c835169207a74b6cbdc27b4ea5d260ef'],180700778.1848732,0000000000000001,proof-of-work stake-modifier ,False,1,0,30,60,ca895b47aacffbdbf906201821af2f9f,0.0002441371325370145,391,"Bruges, Belgium",1413152884,unknown user,,0,180700778.1848732,5615abe0db30b42a6779c56a854104f6c835169207a74b6cbdc27b4ea5d260ef,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152884

3,0,False,['abee11f1f5eec0cdad134ae30f8ef49562b4933fb2faa48afef0167b6471b5f2'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,90,ca895b47aacffbdbf906201821af2f9f,0.0002712636243174596,391,"Bruges, Belgium",1413152895,unknown user,,0,180700778.1848732,abee11f1f5eec0cdad134ae30f8ef49562b4933fb2faa48afef0167b6471b5f2,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152895

4,0,False,['ebf3f6f3a01203a90dface1dfd70184ff119a531588d358848abdebefbecf752'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,120,ca895b47aacffbdbf906201821af2f9f,0.0003000964704716979,391,"Bruges, Belgium",1413152911,unknown user,,0,180700778.1848732,ebf3f6f3a01203a90dface1dfd70184ff119a531588d358848abdebefbecf752,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152911

5,1,False,['a34ec4a4f4b6c54bf46a80f35db9044e009911208d197cf6c215da47da800220'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,150,ca895b47aacffbdbf906201821af2f9f,0.0003284321280160729,391,"Bruges, Belgium",1413152923,unknown user,,0,180700778.1848732,a34ec4a4f4b6c54bf46a80f35db9044e009911208d197cf6c215da47da800220,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152923

6,0,False,['b0c6d70adaa4d4e421c392e7ab5e36bc96f06a04f689eea69ecacf802f6fd731'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,180,ca895b47aacffbdbf906201821af2f9f,0.0003625549948377612,391,"Bruges, Belgium",1413152930,unknown user,,0,180700778.1848732,b0c6d70adaa4d4e421c392e7ab5e36bc96f06a04f689eea69ecacf802f6fd731,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152930

7,0,False,['3b98fda40a97ab77d4b8da256279eeecd772d884a7dc3f5fff4089f40ef559f5'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,210,ca895b47aacffbdbf906201821af2f9f,0.0004046019331890863,391,"Bruges, Belgium",1413152948,unknown user,,0,180700778.1848732,3b98fda40a97ab77d4b8da256279eeecd772d884a7dc3f5fff4089f40ef559f5,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152948

8,1,False,['85dd263148fa13a043c16737c7fc867ffad847c79fd0ed3b1abd8e428027c249'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,240,ca895b47aacffbdbf906201821af2f9f,0.0004409126579171726,391,"Bruges, Belgium",1413152957,unknown user,,0,180700778.1848732,85dd263148fa13a043c16737c7fc867ffad847c79fd0ed3b1abd8e428027c249,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152957

9,1,False,['94b017874519b5098a4808d9fa6d2675da8d15b072fa939cf34b837c04c5924c'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,270,ca895b47aacffbdbf906201821af2f9f,0.0004899034220084816,391,"Bruges, Belgium",1413152976,unknown user,,0,180700778.1848732,94b017874519b5098a4808d9fa6d2675da8d15b072fa939cf34b837c04c5924c,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152976

10,1,False,['c124266578969180a1db564852500a1aa6d9d9e0a3c6d58c407cd2d65dea2fa2'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,340569880.0,340570150.0,ca895b47aacffbdbf906201821af2f9f,0.000532731421748676,391,"Bruges, Belgium",1413152986,unknown user,,0,180700778.1848732,c124266578969180a1db564852500a1aa6d9d9e0a3c6d58c407cd2d65dea2fa2,[],340569880.0,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413152986

11,1,False,['b2c696e1a0bda5c1e04bfd2ac59bb92487ba9deda3bfc0cb60f3fcc237c9aa3d'],180700778.1848732,0000000000000001,proof-of-work ,False,1,0,30,340570180.0,ca895b47aacffbdbf906201821af2f9f,0.0005906379997139054,391,"Bruges, Belgium",1413153004,unknown user,,0,180700778.1848732,b2c696e1a0bda5c1e04bfd2ac59bb92487ba9deda3bfc0cb60f3fcc237c9aa3d,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153004

12,1,False,['562e8aecaae185b0e546cd2667c45301a08dd275dc709f4ac1c9fdb5464256f9'],180700778.1848732,0000000000000793,proof-of-work stake-modifier ,False,1,0,30,340570210.0,ca895b47aacffbdbf906201821af2f9f,0.0006436445261723435,391,"Bruges, Belgium",1413153016,unknown user,,0,180700778.1848732,562e8aecaae185b0e546cd2667c45301a08dd275dc709f4ac1c9fdb5464256f9,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153016

13,0,False,['892bce1f7fa1d284bd565dc756335b805523dfd02234faa3386a21c033507154'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570240.0,ca895b47aacffbdbf906201821af2f9f,0.0007105180303640073,391,"Bruges, Belgium",1413153049,unknown user,,0,180700778.1848732,892bce1f7fa1d284bd565dc756335b805523dfd02234faa3386a21c033507154,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153049

14,1,False,['5a7b30b3d417668f21e3c808c28e6ae0e1e276ef7e45dac42ed60b145292efc0'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570270.0,ca895b47aacffbdbf906201821af2f9f,0.0007502376582556708,391,"Bruges, Belgium",1413153058,unknown user,,0,180700778.1848732,5a7b30b3d417668f21e3c808c28e6ae0e1e276ef7e45dac42ed60b145292efc0,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153053

